loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,category
-108702.77443895552,-7.732999533254287,62,14057,26,3.324171176,0.12785273753846155,grad,health
-106288.5336046331,-7.561253013063464,62,14057,42,5.724490266999999,0.1362973873095238,grad,health
-106119.53590246015,-7.549230696625179,62,14057,53,7.076894039000001,0.13352630262264154,grad,health
-106262.17961608109,-7.559378218402297,62,14057,42,5.591602290999999,0.13313338788095236,grad,health
-108040.44067595199,-7.685881815177633,62,14057,23,2.894582461,0.1258514113478261,grad,health
-106258.59051475732,-7.55912289355889,62,14057,41,5.667078919,0.13822143704878048,grad,health
-108349.04354339291,-7.707835494301267,62,14057,25,3.371002879,0.13484011516,grad,health
-108348.12756999546,-7.70777033292989,62,14057,23,3.0248079729999997,0.13151339013043478,grad,health
-108377.54667845546,-7.70986317695493,62,14057,23,3.097253107,0.1346631785652174,grad,health
-106231.89070905418,-7.557223497834117,62,14057,42,5.648269769000001,0.1344826135476191,grad,health
-106246.76217613423,-7.558281438154245,62,14057,39,5.237593924,0.1342972801025641,grad,health
-108573.69877177497,-7.723817227841998,62,14057,25,3.4493152559999993,0.13797261023999996,grad,health
-108553.3275169153,-7.7223680384801385,62,14057,22,2.8852189540000004,0.1311463160909091,grad,health
-106269.05018220285,-7.559866983154503,62,14057,41,5.627407578000001,0.13725384336585367,grad,health
-106277.93430305753,-7.560498990044642,62,14057,41,5.526752017999999,0.13479882970731705,grad,health
-106292.32311806313,-7.561522595010538,62,14057,41,5.552353935999999,0.1354232667317073,grad,health
-106325.6479929632,-7.5638932910979015,62,14057,40,5.469589815999999,0.13673974539999997,grad,health
-106260.49381139447,-7.5592582920533875,62,14057,41,5.508142671000001,0.13434494319512197,grad,health
-108153.52201392099,-7.693926301054349,62,14057,22,2.889705525000001,0.13135025113636367,grad,health
-106263.43324153157,-7.559467399980904,62,14057,40,5.428201516,0.1357050379,grad,health
-106336.30495662577,-7.564651416136144,62,14057,41,5.475462004000001,0.13354785375609757,grad,health
-106328.87168120685,-7.564122620844195,62,14057,41,5.572866622,0.13592357614634146,grad,health
-106053.72042977516,-7.544548654035367,62,14057,30,4.054200167,0.13514000556666667,mm,health
-106185.07152986199,-7.553892831319769,62,14057,22,2.905955923,0.1320889055909091,mm,health
-106168.5552810509,-7.552717882980073,62,14057,26,3.513085058,0.13511865607692308,mm,health
-106204.35140804038,-7.555264381307561,62,14057,22,2.93339147,0.1333359759090909,mm,health
-106247.01560563143,-7.558299466858607,62,14057,25,3.3103421250000005,0.13241368500000003,mm,health
-106154.55072851684,-7.55172161403691,62,14057,21,2.8407249680000004,0.13527261752380954,mm,health
-106247.87895947036,-7.558360884930665,62,14057,23,3.0810247029999998,0.13395759578260868,mm,health
-106315.21222790053,-7.5631509018923335,62,14057,34,4.60345035,0.13539559852941177,mm,health
-106179.06244962799,-7.553465351755566,62,14057,24,3.2638347949999997,0.1359931164583333,mm,health
-106196.98613986399,-7.554740423978373,62,14057,20,2.662537122,0.1331268561,mm,health
-106200.87408686632,-7.555017008384884,62,14057,25,3.41363196,0.1365452784,mm,health
-106148.71151877365,-7.551306218878398,62,14057,24,3.268400475,0.136183353125,mm,health
-106102.66446582673,-7.548030480602314,62,14057,25,3.446621562000001,0.13786486248000004,mm,health
-106234.2739304211,-7.557393037662453,62,14057,24,3.340135952,0.13917233133333332,mm,health
-106172.21311423337,-7.552978097334663,62,14057,23,3.2425945229999997,0.14098237056521737,mm,health
-106223.88551136872,-7.556654016601602,62,14057,30,4.257951544,0.14193171813333333,mm,health
-106085.01975892625,-7.546775254956694,62,14057,26,3.584071795,0.13784891519230769,mm,health
-106220.4821529051,-7.556411905307327,62,14057,26,3.592469015,0.1381718851923077,mm,health
-106220.11632859697,-7.556385880955892,62,14057,25,3.4211731030000005,0.13684692412000002,mm,health
-106148.73048097233,-7.551307567829006,62,14057,27,3.6755163920000005,0.13613023674074076,mm,health
-106169.1038401747,-7.552756906891563,62,14057,22,3.049700198,0.13862273627272728,mm,health
-106213.53972713121,-7.5559180285360465,62,14057,22,2.946369573000001,0.13392588968181823,mm,health
-106343.96034474985,-7.56519601228924,62,14057,34,4.724283201,0.13894950591176472,mm,health
-106192.53239626995,-7.554423589405275,62,14057,28,3.8968837040000004,0.13917441800000002,mm,health
-106226.80897582378,-7.556861988747512,62,14057,28,3.7935475879999996,0.13548384242857142,mm,health
-106231.12964914841,-7.557169356843453,62,14057,24,3.345159156000001,0.13938163150000005,mm,health
-106154.81053098645,-7.5517400961077366,62,14057,23,3.1134748569999995,0.13536847204347824,mm,health
-106223.04360014014,-7.556594123933993,62,14057,22,2.9891431710000003,0.13587014413636364,mm,health
-106172.46406047739,-7.55299594938304,62,14057,21,2.8521964850000003,0.13581888023809524,mm,health
-106250.28244653187,-7.558531866438918,62,14057,26,3.6382926400000004,0.1399343323076923,mm,health
-50546.69870724066,-8.561432707865967,58,5904,75,4.500105724000002,0.06000140965333336,fp,media
-50513.89117031761,-8.555875875731303,58,5904,78,4.661161812,0.05975848476923076,fp,media
-50556.91707040528,-8.563163460434499,58,5904,76,4.623308606,0.06083300797368421,fp,media
-50547.56940577954,-8.561580183905749,58,5904,77,4.794332454000002,0.06226405784415587,fp,media
-50574.28528427473,-8.566105231076344,58,5904,76,4.814521143999999,0.06334896242105262,fp,media
-50543.05387077402,-8.560815357515924,58,5904,77,4.722146235,0.06132657448051949,fp,media
-50543.674101445125,-8.560920410136369,58,5904,77,4.923178353,0.0639373812077922,fp,media
-50573.02615322029,-8.565891963621324,58,5904,74,4.497688518999999,0.06077957458108106,fp,media
-50563.26047460061,-8.564237885264331,58,5904,76,4.603737368,0.060575491684210524,fp,media
-50554.27758069627,-8.562716392394353,58,5904,77,4.4615766300000015,0.05794255363636366,fp,media
-50555.69714347691,-8.562956833244733,58,5904,77,4.669610745999998,0.06064429540259738,fp,media
-50531.99343414276,-8.558941977327702,58,5904,78,4.685316816,0.06006816430769231,fp,media
-50537.607477108846,-8.559892865363965,58,5904,77,4.739655969000004,0.061553973623376675,fp,media
-50561.1065055376,-8.563873053105963,58,5904,77,4.680476544000001,0.060785409662337676,fp,media
-50549.60395506359,-8.561924789136787,58,5904,77,4.670905476999999,0.060661110090909076,fp,media
-50580.38600463633,-8.567138550920788,58,5904,76,4.602901481000001,0.06056449317105264,fp,media
-50554.19418334843,-8.562702266827309,58,5904,76,4.60660987,0.06061328776315789,fp,media
-50578.76251375352,-8.566863569402697,58,5904,75,4.409118512000002,0.05878824682666669,fp,media
-50543.461862845375,-8.560884461864054,58,5904,78,4.6979993349999996,0.0602307607051282,fp,media
-50554.55180140215,-8.56276283899088,58,5904,76,4.603107174,0.060567199657894734,fp,media
-50548.87180180864,-8.561800779439132,58,5904,77,4.718405582999999,0.061277994584415574,fp,media
-50527.84209083833,-8.558238836524106,58,5904,79,4.852469504000002,0.06142366460759496,fp,media
-50563.77406753469,-8.564324875937446,58,5904,76,4.575848321999998,0.060208530552631555,fp,media
-50570.75216875147,-8.565506803650317,58,5904,76,4.505435872999999,0.0592820509605263,fp,media
-50565.065378794214,-8.56454359396921,58,5904,76,4.5090356620000005,0.05932941660526316,fp,media
-50549.59970313858,-8.561924068959787,58,5904,77,4.7046414200000015,0.06109923922077924,fp,media
-50571.23005126437,-8.565587745810362,58,5904,75,4.589779242,0.06119705656,fp,media
-50552.838563322046,-8.562472656389236,58,5904,76,4.6595877539999995,0.06131036518421052,fp,media
-50549.552212183946,-8.561916025098906,58,5904,77,4.672607989000001,0.06068322063636365,fp,media
-50579.77287520838,-8.56703470108543,58,5904,75,4.551091759000001,0.06068122345333335,fp,media
-50714.14405784084,-8.58979404773727,58,5904,24,1.295448156,0.0539770065,grad,media
-50674.634059189884,-8.583101974795035,58,5904,23,1.257332196,0.0546666172173913,grad,media
-50689.79218450661,-8.585669407944886,58,5904,24,1.2898171099999998,0.053742379583333326,grad,media
-50678.92743276222,-8.583829172215824,58,5904,23,1.0970268689999998,0.04769682039130434,grad,media
-50747.40423841647,-8.59542754715726,58,5904,26,1.391830052,0.05353192507692307,grad,media
-50763.60270844205,-8.598171190454277,58,5904,24,1.3151769540000002,0.05479903975000001,grad,media
-50675.82660401973,-8.583303964095482,58,5904,26,1.2739601,0.048998465384615386,grad,media
-50781.9883835285,-8.601285295313092,58,5904,24,1.3033837659999996,0.05430765691666665,grad,media
-50693.212630000286,-8.586248751693816,58,5904,25,1.200058747,0.048002349879999996,grad,media
-50637.07308800136,-8.576740021680447,58,5904,23,1.256030005,0.054610000217391305,grad,media
